chain	p_init	p_est	h2_est	alpha_est	corr_range	beta_NA
1	1e-04	0.0647319006107673	0.001	-0.587307270119817	5.85672159448287e-05	0
2	0.000232691816877636	0.0401915779863721	0.001	-1.35544156989244	8.03423343978269e-07	0
3	0.000541454816418155	0.0436684089167584	0.00100383706460207	-0.736897551011339	0.000132933132059366	0
4	0.00125992104989487	0.0516001483618591	0.001	-0.412920147428038	0.000105574424983757	0
5	0.00293173318222417	0.0377577263624772	0.001	-0.147902962100681	7.00579669329444e-05	0
6	0.00682190320772196	0.053974469877183	0.001	-0.407481860487517	7.79925907659122e-06	0
7	0.015874010519682	0.0291293932338285	0.001	0.433408274527635	8.48739398358269e-07	0
8	0.0369375234895952	0.0463043544687665	0.001	0.414911986910498	4.53380282854798e-07	0
9	0.0859505945175426	0.0433547870658231	0.001	-0.726190707445239	2.90830825701836e-05	0
10	0.2	0.037547661721216	0.001	-0.087478762695524	1.58320709577749e-07	0
