chain	p_init	p_est	h2_est	alpha_est	beta_NA
1	1e-04	0.0117594824839581	0.214490935297888	-0.518058964754757	0
2	0.000129965661180768	0.0125163526599065	0.218994429027087	-0.496876808031718	0
3	0.000168910730861542	0.013351218250123	0.222160600196645	-0.493025106600107	0
4	0.000219525948169471	0.0124677195196598	0.218087168579822	-0.480558201418224	0
5	0.000285308350001803	0.0124048569119672	0.218620343943326	-0.519143264124024	0
6	0.000370802883483783	0.0123995128000106	0.217271411053776	-0.489994273073586	0
7	0.000481916419197052	0.0124426588063344	0.216833518557479	-0.468024723763264	0
8	0.000626325860548131	0.0134795507180176	0.22317694102485	-0.505157150736091	0
9	0.000814008545807513	0.0124801190812386	0.218905350306894	-0.512959354364745	0
10	0.00105793158862669	0.0124298632345799	0.217932518274953	-0.497687425489711	0
11	0.00137494778399888	0.0140529913700313	0.224966638719927	-0.515698056099821	0
12	0.00178695997836446	0.0117346954955265	0.214546603113598	-0.492243600465968	0
13	0.00232243435091708	0.0129321011336671	0.219691621108762	-0.461136032456904	0
14	0.00301836715965867	0.0130298348953656	0.220996676934075	-0.50342227686764	0
15	0.00392284083591356	0.0126874618484818	0.220051586460051	-0.490463385101801	0
16	0.00509834602946423	0.0124001447420559	0.217516418129671	-0.509634617713381	0
17	0.00662609912647662	0.0124616565373488	0.219863172291218	-0.493888222719178	0
18	0.00861165354021843	0.0122412447247556	0.216404557011391	-0.462766646586742	0
19	0.0111921924621419	0.0122907880235095	0.217075530275116	-0.484264507082962	0
20	0.0145460069340468	0.0116058727880368	0.214406578245618	-0.523769408185828	0
21	0.0189048140872343	0.0115230657248484	0.212704144248591	-0.462628214497386	0
22	0.0245697666234691	0.0119807624391682	0.215736343329047	-0.510015833389512	0
23	0.0319322596427632	0.012230884841	0.217754607981631	-0.521928762249558	0
24	0.0415009723746768	0.0126907328542933	0.219571818678444	-0.504732620335672	0
25	0.0539370131431966	0.0122363349340793	0.217579843019742	-0.486659955731833	0
26	0.0700995957527133	0.0123480250080223	0.217999517178138	-0.486192034026516	0
27	0.0911054031050594	0.0135867888787919	0.221858744970664	-0.528590047701178	0
28	0.118405739516894	0.0120648826925755	0.216664299563989	-0.509097732584327	0
29	0.15388680223911	0.0134583265510775	0.222906147688877	-0.511499549823003	0
30	0.2	0.0120902392170514	0.216537181979007	-0.486843288209154	0
