CHR	RAW	GWAS_QC	POSITION_OVERLAP	FINAL	MEDIAN_NEFF
1	1583139	777668	92536	92502	605221.821102102
2	1711341	842622	93703	93599	599257.239615042
3	1447041	718425	77837	77803	607474.353247336
4	1450718	738775	69780	69751	606981.2212256
5	1302476	646429	70243	70214	602095.787091708
6	1309922	671373	75246	75218	601216.811604054
7	1175068	593673	61848	61824	605956.700576122
8	1120942	562556	60706	60679	599302.03124221
9	865308	432263	51696	51675	601956.486420181
10	1006768	510149	59865	59834	602948.945457369
11	994053	501614	57154	57124	603819.803787918
12	952946	487055	54879	54854	603556.280049715
13	719696	365915	42493	42482	603356.11933323
14	654054	327721	37116	37094	601929.473725993
15	575327	288519	33726	33714	604425.82264438
16	637630	315833	34413	34393	598648.694909176
17	556367	270444	30584	30570	601936.615124158
18	564191	285836	33309	33296	602960.816462728
19	458782	233098	21072	21050	601535.021190042
20	443089	221870	29263	29254	604973.974469825
21	271346	138187	15959	15951	604800.599724887
22	272866	139369	16445	16431	600233.537705627
